date,indeed,google,facebook,linkedin,jobworld,xing,stepstone,monster
2017-01-01,30,100,50,20,10,50,5,3
2017-01-02,30,102,51,15,13,47,6,3
2017-01-03,31,104,53,12,9,45,5,8
2017-01-04,30,103,57,9,7,47,5,9
2017-01-05,27,102,52,11,7,42,5,8
2017-01-06,26,103,54,10,10,39,5,3
2017-01-07,24,107,55,8,9,43,4,0
2017-01-08,25,105,56,12,7,47,4,4
2017-01-09,27,107,52,10,3,45,4,3
2017-01-10,29,109,50,9,5,43,4,1
2017-01-11,25,106,46,9,9,46,5,0
2017-01-12,30,108,48,11,14,46,4,0
2017-01-13,27,108,50,7,12,50,3,0
2017-01-14,23,104,53,10,14,49,2,4
2017-01-15,23,109,55,13,12,46,1,3
2017-01-16,21,111,51,16,11,45,0,2
2017-01-17,17,114,56,13,8,44,1,0
2017-01-18,18,116,56,10,8,47,1,0
2017-01-19,23,121,57,7,5,43,0,2
2017-01-20,19,125,61,4,4,43,0,0
2017-01-21,24,127,66,4,6,41,0,2
2017-01-22,24,125,68,2,8,45,0,4
2017-01-23,28,122,65,0,4,43,1,3
2017-01-24,24,123,65,3,2,40,2,0
2017-01-25,27,120,65,0,0,45,3,1
2017-01-26,23,122,63,3,2,50,2,0
2017-01-27,22,120,65,3,3,46,3,3
2017-01-28,24,124,64,0,8,51,2,0
2017-01-29,28,122,69,0,8,51,3,0
2017-01-30,27,124,68,0,6,49,3,0
2017-01-31,24,129,68,0,10,50,4,0
2017-02-01,22,129,72,2,10,53,5,0
2017-02-02,23,130,73,0,14,57,5,2
2017-02-03,27,135,74,0,14,61,4,0
2017-02-04,28,136,72,0,16,57,5,3
2017-02-05,27,135,72,0,12,60,5,4
2017-02-06,30,135,73,0,13,56,5,0
2017-02-07,33,137,74,0,16,55,5,1
2017-02-08,38,142,77,2,16,51,6,0
2017-02-09,43,141,79,4,16,50,7,0
2017-02-10,48,143,78,0,13,50,6,0
2017-02-11,49,143,78,0,15,46,7,0
2017-02-12,54,141,74,0,13,47,8,0
